64 1211
1 2 10
1 3 10
1 4 10
1 5 10
1 6 10
1 7 10
1 8 10
1 9 10
1 15 10
1 17 10
1 22 10
1 25 10
1 29 10
1 33 10
1 36 10
1 41 10
1 43 10
1 49 10
1 50 11
1 51 11
1 52 11
1 53 11
1 54 11
1 55 11
1 56 11
1 57 11
1 58 11
1 59 11
1 60 11
1 61 11
1 62 11
1 63 11
1 64 11
2 3 10
2 4 10
2 5 10
2 6 10
2 7 10
2 8 10
2 9 10
2 10 10
2 16 10
2 18 10
2 23 10
2 26 10
2 30 10
2 34 10
2 37 10
2 42 10
2 44 10
2 50 11
2 51 11
2 52 11
2 53 11
2 54 11
2 55 11
2 56 11
2 57 11
2 58 11
2 59 11
2 60 11
2 61 11
2 62 11
2 63 11
2 64 11
3 4 10
3 5 10
3 6 10
3 7 10
3 9 10
3 10 10
3 11 10
3 15 10
3 17 10
3 19 10
3 24 10
3 27 10
3 31 10
3 35 10
3 38 10
3 45 10
3 50 11
3 51 11
3 52 11
3 53 11
3 54 11
3 55 11
3 56 11
3 57 11
3 58 11
3 59 11
3 60 11
3 61 11
3 62 11
3 63 11
3 64 11
4 5 10
4 6 10
4 7 10
4 10 10
4 11 10
4 12 10
4 16 10
4 18 10
4 20 10
4 22 10
4 25 10
4 28 10
4 32 10
4 39 10
4 46 10
4 50 11
4 51 11
4 52 11
4 53 11
4 54 11
4 55 11
4 56 11
4 57 11
4 58 11
4 59 11
4 60 11
4 61 11
4 62 11
4 63 11
4 64 11
5 6 10
5 7 10
5 11 10
5 12 10
5 13 10
5 17 10
5 19 10
5 21 10
5 23 10
5 26 10
5 29 10
5 33 10
5 40 10
5 47 10
5 50 11
5 51 11
5 52 11
5 53 11
5 54 11
5 55 11
5 56 11
5 57 11
5 58 11
5 59 11
5 60 11
5 61 11
5 62 11
5 63 11
5 64 11
6 7 10
6 12 10
6 13 10
6 14 10
6 18 10
6 20 10
6 24 10
6 27 10
6 30 10
6 34 10
6 36 10
6 41 10
6 48 10
6 50 11
6 51 11
6 52 11
6 53 11
6 54 11
6 55 11
6 56 11
6 57 11
6 58 11
6 59 11
6 60 11
6 61 11
6 62 11
6 63 11
6 64 11
7 13 10
7 14 10
7 19 10
7 21 10
7 25 10
7 28 10
7 31 10
7 35 10
7 37 10
7 42 10
7 43 10
7 49 10
7 50 11
7 51 11
7 52 11
7 53 11
7 54 11
7 55 11
7 56 11
7 57 11
7 58 11
7 59 11
7 60 11
7 61 11
7 62 11
7 63 11
7 64 11
8 9 10
8 10 10
8 11 10
8 12 10
8 13 10
8 14 10
8 15 10
8 16 10
8 22 10
8 24 10
8 29 10
8 32 10
8 36 10
8 40 10
8 43 10
8 48 10
8 50 11
8 51 11
8 52 11
8 53 11
8 54 11
8 55 11
8 56 11
8 57 11
8 58 11
8 59 11
8 60 11
8 61 11
8 62 11
8 63 11
8 64 11
9 10 10
9 11 10
9 12 10
9 13 10
9 14 10
9 15 10
9 16 10
9 17 10
9 23 10
9 25 10
9 30 10
9 33 10
9 37 10
9 41 10
9 44 10
9 49 10
9 50 12
9 51 12
9 52 12
9 53 12
9 54 12
9 55 12
9 56 12
