64 1211
1 2 13
1 3 13
1 4 13
1 5 13
1 6 13
1 7 13
1 8 13
1 9 8
1 15 13
1 17 8
1 22 13
1 25 8
1 29 13
1 33 8
1 36 13
1 41 8
1 43 13
1 49 8
1 50 12
1 51 12
1 52 12
1 53 12
1 54 12
1 55 12
1 56 12
1 57 12
1 58 12
1 59 12
1 60 12
1 61 12
1 62 12
1 63 12
1 64 12
2 3 13
2 4 13
2 5 13
2 6 13
2 7 13
2 8 8
2 9 13
2 10 8
2 16 13
2 18 8
2 23 13
2 26 8
2 30 13
2 34 8
2 37 13
2 42 8
2 44 13
2 50 12
2 51 12
2 52 12
2 53 12
2 54 12
2 55 12
2 56 12
2 57 12
2 58 12
2 59 12
2 60 12
2 61 12
2 62 12
2 63 12
2 64 12
3 4 13
3 5 13
3 6 13
3 7 13
3 9 8
3 10 13
3 11 8
3 15 8
3 17 13
3 19 8
3 24 13
3 27 8
3 31 13
3 35 8
3 38 13
3 45 13
3 50 12
3 51 12
3 52 12
3 53 12
3 54 12
3 55 12
3 56 12
3 57 12
3 58 12
3 59 12
3 60 12
3 61 12
3 62 12
3 63 12
3 64 12
4 5 13
4 6 13
4 7 13
4 10 8
4 11 13
4 12 8
4 16 8
4 18 13
4 20 8
4 22 8
4 25 13
4 28 8
4 32 13
4 39 13
4 46 13
4 50 12
4 51 12
4 52 12
4 53 12
4 54 12
4 55 12
4 56 12
4 57 12
4 58 12
4 59 12
4 60 12
4 61 12
4 62 12
4 63 12
4 64 12
5 6 13
5 7 13
5 11 8
5 12 13
5 13 8
5 17 8
5 19 13
5 21 8
5 23 8
5 26 13
5 29 8
5 33 13
5 40 13
5 47 13
5 50 12
5 51 12
5 52 12
5 53 12
5 54 12
5 55 12
5 56 12
5 57 12
5 58 12
5 59 12
5 60 12
5 61 12
5 62 12
5 63 12
5 64 12
6 7 13
6 12 8
6 13 13
6 14 8
6 18 8
6 20 13
6 24 8
6 27 13
6 30 8
6 34 13
6 36 8
6 41 13
6 48 13
6 50 12
6 51 12
6 52 12
6 53 12
6 54 12
6 55 12
6 56 12
6 57 12
6 58 12
6 59 12
6 60 12
6 61 12
6 62 12
6 63 12
6 64 12
7 13 8
7 14 13
7 19 8
7 21 13
7 25 8
7 28 13
7 31 8
7 35 13
7 37 8
7 42 13
7 43 8
7 49 13
7 50 12
7 51 12
7 52 12
7 53 12
7 54 12
7 55 12
7 56 12
7 57 12
7 58 12
7 59 12
7 60 12
7 61 12
7 62 12
7 63 12
7 64 12
8 9 13
8 10 13
8 11 13
8 12 13
8 13 13
8 14 13
8 15 13
8 16 8
8 22 13
8 24 8
8 29 13
8 32 8
8 36 13
8 40 8
8 43 13
8 48 8
8 50 12
8 51 12
8 52 12
8 53 12
8 54 12
8 55 12
8 56 12
8 57 12
8 58 12
8 59 12
8 60 12
8 61 12
8 62 12
8 63 12
8 64 12
9 10 13
9 11 13
9 12 13
9 13 13
9 14 13
9 15 8
9 16 13
9 17 8
9 23 13
9 25 8
9 30 13
9 33 8
9 37 13
9 41 8
9 44 13
9 49 8
9 50 13
9 51 13
9 52 13
9 53 13
9 54 13
9 55 13
9 56 13
9 57 13
9 58 13
9 59 13
9 60 13
9 61 13
9 62 13
9 63 13
9 64 13
10 11 13
10 12 13
10 13 13
10 14 13
10 16 8
10 17 13
10 18 8
10 22 8
10 24 13
10 26 8
10 31 13
10 34 8
10 38 13
10 42 8
10 45 13
10 50 13
10 51 13
10 52 13
10 53 13
10 54 13
10 55 13
10 56 13
10 57 13
10 58 13
10 59 13
10 60 13
10 61 13
10 62 13
10 63 13
10 64 13
11 12 13
11 13 13
11 14 13
11 17 8
11 18 13
11 19 8
11 23 8
11 25 13
11 27 8
11 29 8
11 32 13
11 35 8
11 39 13
11 46 13
11 50 13
11 51 13
11 52 13
11 53 13
11 54 13
11 55 13
11 56 13
11 57 13
11 58 13
11 59 13
11 60 13
11 61 13
11 62 13
11 63 13
11 64 13
12 13 13
12 14 13
12 18 8
12 19 13
12 20 8
12 24 8
12 26 13
12 28 8
12 30 8
12 33 13
12 36 8
12 40 13
12 47 13
12 50 13
12 51 13
12 52 13
12 53 13
12 54 13
12 55 13
12 56 13
12 57 13
12 58 13
12 59 13
12 60 13
12 61 13
12 62 13
12 63 13
12 64 13
13 14 13
13 19 8
13 20 13
13 21 8
13 25 8
13 27 13
13 31 8
13 34 13
13 37 8
13 41 13
13 43 8
13 48 13
13 50 13
13 51 13
13 52 13
13 53 13
13 54 13
13 55 13
13 56 13
13 57 13
13 58 13
13 59 13
13 60 13
13 61 13
13 62 13
13 63 13
13 64 13
14 20 8
14 21 13
14 26 8
14 28 13
14 32 8
14 35 13
14 38 8
14 42 13
14 44 8
14 49 13
14 50 12
14 51 12
14 52 12
14 53 12
14 54 12
14 55 12
14 56 12
14 57 12
14 58 12
14 59 12
14 60 12
14 61 12
14 62 12
14 63 12
14 64 12
15 16 13
15 17 13
15 18 13
15 19 13
15 20 13
15 21 13
15 22 13
15 23 8
15 29 13
15 31 8
15 36 13
15 39 8
15 43 13
15 47 8
15 50 12
15 51 12
15 52 12
15 53 12
15 54 12
15 55 12
15 56 12
15 57 12
15 58 12
15 59 12
15 60 12
15 61 12
15 62 12
15 63 12
15 64 12
16 17 13
16 18 13
16 19 13
16 20 13
16 21 13
16 22 8
16 23 13
16 24 8
16 30 13
16 32 8
16 37 13
16 40 8
16 44 13
16 48 8
16 50 13
16 51 13
16 52 13
16 53 13
16 54 13
16 55 13
16 56 13
16 57 13
16 58 13
16 59 13
16 60 13
16 61 13
16 62 13
16 63 13
16 64 13
17 18 13
17 19 13
17 20 13
17 21 13
17 23 8
17 24 13
17 25 8
17 29 8
17 31 13
17 33 8
17 38 13
17 41 8
17 45 13
17 49 8
17 50 14
17 51 14
17 52 14
17 53 14
17 54 14
17 55 14
17 56 14
17 57 14
17 58 14
17 59 14
17 60 14
17 61 14
17 62 14
17 63 14
17 64 14
18 19 13
18 20 13
18 21 13
18 24 8
18 25 13
18 26 8
18 30 8
18 32 13
18 34 8
18 36 8
18 39 13
18 42 8
18 46 13
18 50 14
18 51 14
18 52 14
18 53 14
18 54 14
18 55 14
18 56 14
18 57 14
18 58 14
18 59 14
18 60 14
18 61 14
18 62 14
18 63 14
18 64 14
19 20 13
19 21 13
19 25 8
19 26 13
19 27 8
19 31 8
19 33 13
19 35 8
19 37 8
19 40 13
19 43 8
19 47 13
19 50 14
19 51 14
19 52 14
19 53 14
19 54 14
19 55 14
19 56 14
19 57 14
19 58 14
19 59 14
19 60 14
19 61 14
19 62 14
19 63 14
19 64 14
20 21 13
20 26 8
20 27 13
20 28 8
20 32 8
20 34 13
20 38 8
20 41 13
20 44 8
20 48 13
20 50 13
20 51 13
20 52 13
20 53 13
20 54 13
20 55 13
20 56 13
20 57 13
20 58 13
20 59 13
20 60 13
20 61 13
20 62 13
20 63 13
20 64 13
21 27 8
21 28 13
21 33 8
21 35 13
21 39 8
21 42 13
21 45 8
21 49 13
21 50 12
21 51 12
21 52 12
21 53 12
21 54 12
21 55 12
21 56 12
21 57 12
21 58 12
21 59 12
21 60 12
21 61 12
21 62 12
21 63 12
21 64 12
22 23 13
22 24 13
22 25 13
22 26 13
