32 248
1 5 14
1 6 -9
1 11 12
1 12 15
1 13 -8
1 14 12
1 15 -7
1 17 -10
1 18 -6
1 19 -13
1 20 3
1 21 6
1 23 -3
1 24 -8
1 26 5
1 30 -9
2 3 -14
2 5 -2
2 6 -5
2 9 -12
2 10 15
2 13 -15
2 14 6
2 16 10
2 18 -6
2 22 5
2 23 -15
2 25 -13
2 26 -3
2 27 13
2 28 -1
2 32 -4
3 7 -15
3 9 -5
3 10 -7
3 12 -9
3 18 5
3 20 7
3 21 9
3 23 -1
3 26 3
3 28 11
3 30 15
3 32 13
4 6 -8
4 9 7
4 11 -2
4 12 -7
4 13 7
4 17 -10
4 18 -10
4 19 13
4 21 -1
4 22 -7
4 23 4
4 25 -4
4 26 -10
4 27 6
4 31 10
5 6 -3
5 7 2
5 10 -8
5 11 -14
5 12 -1
5 13 5
5 14 9
5 16 -10
5 17 -8
5 18 3
5 19 -15
5 20 -11
5 21 -15
5 22 13
5 24 -14
5 27 2
5 28 -14
5 30 -3
5 31 -7
6 7 -13
6 8 11
6 12 -7
6 14 7
6 16 7
6 17 4
6 18 -5
6 20 -8
6 21 -15
6 24 11
6 27 -12
6 28 -2
6 30 12
7 8 7
7 9 15
7 10 12
7 11 -15
7 12 8
7 13 -11
7 15 -12
7 16 -13
7 17 7
7 20 5
7 21 -5
7 22 15
7 23 12
7 24 15
7 27 9
7 30 -2
7 31 -7
7 32 4
8 9 -10
8 13 -3
8 15 6
8 18 4
8 20 1
8 21 9
8 25 13
8 26 15
8 30 -3
8 31 10
9 10 -5
9 12 -1
9 16 14
9 23 14
9 25 -1
9 26 14
9 27 14
9 31 -6
9 32 15
10 16 6
10 19 14
10 20 10
10 21 -13
10 23 -12
10 26 -11
10 27 1
10 29 13
10 31 6
11 14 -8
11 17 10
11 19 -1
11 21 -14
11 24 -1
11 25 -6
11 26 1
11 30 8
12 13 14
12 14 1
12 15 -13
12 16 1
12 18 -7
12 23 8
12 27 -1
12 28 -1
13 16 3
13 17 6
13 20 -15
13 23 -9
13 24 4
13 28 -13
13 29 13
13 30 7
14 15 9
14 17 10
14 18 11
14 19 -15
14 20 -10
14 22 1
14 23 14
14 25 15
14 27 -13
14 28 -6
14 31 10
15 19 -13
15 21 -3
15 23 -13
15 25 -5
15 26 -9
15 28 -10
15 30 15
15 31 3
15 32 13
16 18 13
16 21 15
16 22 -4
16 23 9
16 26 5
16 31 -3
17 18 3
17 20 5
17 22 2
17 24 -8
17 25 -6
17 27 -6
17 28 3
17 29 15
17 31 6
18 20 1
18 21 -7
18 22 8
18 23 -7
18 24 -2
18 26 15
18 27 14
18 29 11
18 31 -4
18 32 -5
19 22 8
19 23 -5
19 26 -14
19 28 2
19 29 7
19 30 3
19 32 10
20 21 -15
20 27 15
20 29 -10
20 30 -6
21 25 -4
21 26 3
21 27 11
21 28 3
21 31 2
22 24 5
22 28 2
22 29 -12
22 31 -5
23 25 1
23 27 -8
23 28 -3
23 29 -7
24 25 -10
24 27 13
24 28 -15
24 30 3
24 31 10
24 32 -7
25 26 5
25 27 -4
25 28 12
26 27 -11
26 28 6
26 31 1
26 32 -1
27 28 -11
27 30 -5
27 31 11
30 31 -7
30 32 -1
