32 148
1 5 7
1 6 -7
1 9 -5
1 14 1
1 20 -14
1 22 15
1 26 -11
2 9 13
2 15 -15
2 19 13
2 20 10
2 25 11
2 32 7
3 8 -3
3 15 -15
3 16 -10
3 19 -4
3 22 -12
3 28 -14
4 6 3
4 11 2
4 16 -14
4 21 -13
4 22 -13
4 25 7
4 27 -10
4 28 -4
4 31 -1
4 32 2
5 10 10
5 16 2
5 20 12
5 21 14
5 28 -13
6 13 -3
6 21 -2
6 27 -11
7 11 1
7 12 1
7 15 14
7 16 7
7 18 13
7 21 -15
7 22 -13
7 23 -11
7 25 7
7 26 12
7 30 -10
8 9 7
8 11 11
8 13 -6
8 17 14
8 18 -13
8 20 -7
8 31 -2
9 18 -13
9 19 -5
9 21 -15
9 25 -11
9 27 -13
9 28 13
9 30 -9
10 15 4
10 16 -6
10 19 -3
10 21 14
10 23 15
10 24 13
10 25 -12
10 28 -9
10 31 -10
11 13 14
11 17 -14
11 19 7
11 21 -9
12 15 3
12 18 3
12 24 -7
12 25 6
12 26 4
12 29 2
13 16 -11
13 17 7
13 20 -1
13 24 -2
13 25 10
14 15 -14
14 17 -11
14 18 11
14 23 -14
14 24 -12
14 25 10
14 26 -15
14 27 -11
14 28 -9
14 29 8
15 19 -8
15 23 15
15 25 2
15 27 4
15 28 -10
15 29 11
15 30 13
16 21 -5
16 28 4
16 29 -15
16 30 -15
16 31 -1
16 32 -9
17 22 -9
17 25 3
17 29 -7
17 30 -15
18 25 -2
18 26 13
18 28 -2
19 21 -7
19 25 1
19 26 12
19 27 3
20 22 -3
20 23 -2
20 30 2
21 28 -13
21 32 -12
22 26 -4
22 27 -3
22 30 -15
22 31 9
23 25 -12
23 26 8
23 28 -13
23 29 9
23 31 -14
23 32 -5
24 32 7
25 26 8
25 27 7
25 29 1
25 30 5
27 28 7
27 29 5
27 32 -14
28 29 -14
28 31 -6
28 32 15
29 32 -13
31 32 -3
