32 148
1 3 4
1 5 -11
1 6 -2
1 13 -14
1 14 -7
1 19 -11
1 20 -6
1 21 -1
1 28 -6
2 6 -3
2 7 10
2 10 -7
2 18 -10
2 27 3
2 31 14
3 12 12
3 21 7
3 23 -12
3 26 12
3 29 7
3 32 -7
4 14 2
4 19 -2
4 31 12
5 6 -1
5 11 -9
5 12 -8
5 15 -13
5 16 -11
5 17 -6
5 22 10
5 23 -12
5 25 7
5 26 -11
5 27 6
5 28 11
5 30 10
5 32 1
6 7 -3
6 11 10
6 12 1
6 15 -3
6 18 10
6 21 2
6 24 -14
6 25 -13
6 26 4
6 28 5
7 8 10
7 12 12
7 15 2
7 18 -10
7 21 -8
7 22 9
7 24 -10
7 25 15
7 28 -9
7 31 -4
8 10 7
8 11 -12
8 13 14
8 19 8
8 20 15
8 21 11
8 24 -10
8 31 5
9 14 -8
9 23 11
9 25 -9
9 26 -13
9 28 9
9 29 -9
9 31 13
10 14 -11
10 24 6
11 17 5
11 20 5
11 24 3
11 26 3
11 28 -5
11 30 12
11 32 5
12 15 1
12 17 -13
12 22 10
12 25 -8
12 29 -4
13 15 -2
13 24 9
13 28 -14
13 32 -11
14 15 -11
14 18 14
14 21 12
14 22 -7
14 23 -1
14 30 -2
15 17 -2
15 19 10
15 21 13
15 22 -7
15 27 -3
16 17 -11
16 20 -12
16 22 11
16 23 7
16 25 -7
16 31 2
17 19 -9
17 23 -15
17 27 -3
17 29 -6
17 30 -12
17 32 14
18 19 -14
18 22 12
18 26 -15
18 27 -9
18 30 -3
18 31 13
18 32 4
19 21 -11
19 24 -5
19 27 10
19 30 11
19 32 2
20 21 -11
20 23 5
20 31 -9
20 32 13
21 26 -12
21 28 -4
21 30 3
21 31 6
21 32 12
22 27 -4
22 29 9
23 28 -1
24 25 -6
24 30 -6
25 26 13
26 29 -4
26 31 9
27 28 -11
27 30 4
27 31 9
29 31 7
30 31 14
