48 338
1 4 8
1 5 6
1 9 7
1 11 -12
1 15 -15
1 19 10
1 27 -11
1 29 -14
1 35 12
1 38 4
1 40 7
1 42 7
1 43 -4
1 44 6
2 5 -9
2 10 -12
2 11 8
2 15 -5
2 16 5
2 23 12
2 25 7
2 28 -5
2 29 1
2 30 4
2 31 -9
2 35 10
2 36 13
2 39 10
2 48 -4
3 4 -8
3 5 12
3 9 -3
3 12 -2
3 14 5
3 21 -8
3 25 -1
3 26 1
3 29 -7
3 32 -13
3 35 6
3 38 15
3 45 4
3 48 -14
4 5 13
4 7 -6
4 13 8
4 15 7
4 17 -11
4 20 14
4 24 12
4 28 -5
4 37 2
4 38 6
4 42 -7
4 44 12
5 6 9
5 7 2
5 10 -10
5 13 11
5 19 3
5 23 -7
5 24 -3
5 25 -1
5 26 11
5 27 -10
5 32 -13
5 34 -13
5 36 5
5 40 -4
5 46 -2
5 47 -14
6 18 -4
6 20 6
6 22 -6
6 24 -9
6 27 7
6 35 1
6 42 1
6 45 7
6 47 -4
6 48 13
7 16 1
7 18 -3
7 19 8
7 20 11
7 27 -1
7 32 10
7 41 -8
7 46 1
8 10 -2
8 11 -13
8 23 -12
8 26 -9
8 28 3
8 30 -5
8 31 -7
8 32 -8
8 38 1
8 45 5
8 47 -10
9 11 12
9 12 3
9 17 2
9 21 14
9 22 -2
9 29 -8
9 33 6
9 35 -11
9 36 -13
9 37 -14
9 42 -6
9 44 13
9 47 -3
10 11 -15
10 12 -7
10 18 -9
10 21 -7
10 22 2
10 24 -13
10 27 2
10 28 8
10 31 -4
10 32 5
10 38 -10
10 39 11
10 43 -11
10 46 7
10 47 5
11 12 -4
11 13 9
11 14 -10
11 15 12
11 19 -2
11 20 13
11 22 -13
11 27 4
11 29 6
11 31 -2
11 35 1
11 43 1
11 47 6
12 19 -5
12 24 -6
12 30 4
12 36 8
12 37 -13
12 47 2
12 48 -4
13 14 2
13 23 -11
13 26 1
13 31 -6
13 37 14
13 38 -7
13 39 3
13 43 7
13 45 -11
13 46 14
14 21 8
14 22 5
14 25 6
14 27 -3
14 28 -8
14 29 -8
14 31 -7
14 39 -11
14 41 2
14 42 -5
14 47 9
15 17 11
15 19 -2
15 20 -4
15 31 -14
15 35 14
15 38 -12
15 40 2
15 42 2
16 18 -6
16 20 -6
16 21 -14
16 23 -15
16 26 -8
16 30 -14
16 31 14
16 37 12
16 43 -6
16 46 9
17 29 11
17 30 -6
17 34 -14
17 35 13
17 36 12
17 38 7
17 42 11
17 43 -7
17 47 3
17 48 -13
18 20 -5
18 22 8
18 25 9
18 30 -8
18 31 5
18 33 4
18 35 2
18 40 -7
18 43 10
18 44 9
18 47 -3
19 22 -10
19 24 15
19 26 10
19 27 8
19 30 4
19 31 -10
19 32 -8
19 33 15
19 36 5
19 38 7
19 39 -12
19 41 -15
19 44 9
19 46 11
19 48 14
20 24 10
20 31 1
20 36 -9
20 37 3
20 39 2
20 44 12
20 47 15
21 23 6
21 29 2
21 36 -14
21 37 15
21 42 -2
22 23 10
22 24 -10
22 27 -5
22 37 -12
22 38 -13
22 41 -12
22 47 1
23 32 -9
23 37 -6
23 48 7
24 27 11
24 33 15
24 35 -12
24 36 -13
24 38 15
24 39 -15
24 41 -15
24 44 -15
24 47 8
25 27 14
25 31 -12
25 35 6
25 36 3
25 37 13
25 42 15
25 43 -13
26 28 5
26 34 2
26 35 -5
26 37 7
26 48 2
27 35 15
27 46 -5
27 47 -2
28 33 13
28 38 -6
28 41 3
28 43 -5
28 45 -14
29 30 -13
29 33 -14
29 36 2
29 39 -5
29 40 9
29 43 -15
29 45 -6
30 31 -14
30 33 9
30 35 -11
30 36 -14
30 38 -1
30 40 -3
30 43 3
30 46 15
31 37 -1
31 41 -11
31 43 -12
31 45 -10
31 47 -2
31 48 15
32 34 -11
32 40 -2
32 42 10
32 43 -12
32 47 11
32 48 -7
33 34 -6
33 38 -5
33 40 -12
33 43 -8
33 47 12
33 48 5
34 36 3
34 41 12
34 44 12
34 48 -7
35 36 2
35 41 -2
35 44 3
35 46 15
36 37 -3
36 44 11
37 42 -9
37 45 12
37 48 -14
38 39 9
38 40 -13
38 41 -7
38 43 -7
39 44 5
39 47 7
40 43 13
40 44 11
40 45 8
41 42 11
41 45 -10
41 48 -4
42 47 5
43 44 5
43 45 8
44 48 14
45 47 6
45 48 -5
